year,country,side_a,side_b,deaths_a,deaths_b,deaths_civilians
1997,Turkey,Government of Turkey,PKK,0,33,0
1998,Turkey,Government of Turkey,PKK,0,13,0
1997,Turkey,Government of Turkey,PKK,2,10,0
1997,Turkey,Government of Turkey,PKK,1,3,0
1997,Turkey,Government of Turkey,PKK,0,18,0
1999,Turkey,Government of Turkey,PKK,0,7,0
1997,Turkey,Government of Turkey,PKK,0,4,0
1998,Turkey,Government of Turkey,PKK,1,18,0
1998,Turkey,Government of Turkey,PKK,2,23,0
2000,Turkey,Government of Turkey,PKK,0,6,0
1998,Turkey,Government of Turkey,PKK,0,5,0
1998,Turkey,Government of Turkey,PKK,0,16,0
2004,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,3,0,0
1998,Turkey,Government of Turkey,PKK,0,42,0
1999,Turkey,Government of Turkey,PKK,7,0,0
2004,Turkey,Government of Turkey,PKK,0,1,0
1997,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,5,0,0
2004,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1997,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,6,35,0
1999,Turkey,Government of Turkey,PKK,9,30,0
1999,Turkey,Government of Turkey,PKK,0,7,0
2001,Turkey,Government of Turkey,PKK,0,6,0
2004,Turkey,Government of Turkey,PKK,3,5,0
2004,Turkey,Government of Turkey,PKK,0,3,0
2004,Turkey,Government of Turkey,PKK,0,1,1
1997,Turkey,Government of Turkey,PKK,2,0,0
1997,Turkey,Government of Turkey,PKK,0,5,0
1997,Turkey,Government of Turkey,PKK,0,2,0
1997,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,1,1,0
2004,Turkey,Government of Turkey,PKK,1,0,0
2004,Turkey,Government of Turkey,PKK,0,1,0
2004,Turkey,Government of Turkey,PKK,0,0,0
1997,Turkey,Government of Turkey,PKK,6,0,0
1997,Turkey,Government of Turkey,PKK,2,0,0
1997,Turkey,Government of Turkey,PKK,3,0,0
1997,Turkey,Government of Turkey,PKK,10,0,0
1997,Turkey,Government of Turkey,PKK,0,8,0
1997,Turkey,Government of Turkey,PKK,0,7,0
1997,Turkey,Government of Turkey,PKK,0,5,0
1997,Turkey,Government of Turkey,PKK,0,25,0
1997,Turkey,Government of Turkey,PKK,0,2,0
1997,Turkey,Government of Turkey,PKK,0,2,0
1997,Turkey,Government of Turkey,PKK,2,0,0
